SimpleFieldSearchExample
searching for e
Connecting to 50.19.46.133:8194
Sending Request: fieldSearchRequest = {
    searchSpec = "e"
    returnFieldDocumentation = false
}

FIELD ID     MNEMONIC                            DESCRIPTION                             
RK116        EQY_SHARPE_RATIO_3YR                Sharpe Ratio - 3 Yr                     
BE934        BEST_EBIT_TO_SALES                  BEst EBIT Margin                        
EE004        EEPS_NXT_YR_DT                      Est EPS Next Year Date                  
DS914        EQY_FREE_FLOAT_PCT                  Free Float Percent                      
HT040        EQY_WLPR                            Williams Percent R                      
EZ025        BEST_EPS_NXT_QTR                    BEst EPS Next Qtr                       
FD113        FUND_ASSET_ALLOC_EQUITY             Equity - Fund Asset Allocation          
DS699        EQY_SH_OUT_DT                       Current Shares Outstanding Date         
RR221        OPER_INC_TO_NET_PREM_EARN           Op Inc to Net Prem Earned               
PR390        PX_LAST_EURO                        Last Trade (Euro)                       
RR131        TOT_LIAB_PER_COM_EQY                Tot Liab/Common Equity                  
IN017        INDX_POS_EST_ERN                    Positive Estimated Earnings             
IN004        INDX_ADJ_PE                         Adjusted Price/Earnings ratio           
EE018        CONS_EST_PE_CUR_YR                  Cons Est P/E Curr Year                  
EZ306        BEST_EEPS_PAR_CUR_YR                BEst Est EPS Parent Curr Year           
DV032        EQY_DVD_PCT_FRANKED                 Percent Franked (Australia)             
R0022        ARDR_EQY_IN_EARN_AFFILIATE_JV       ARD Ref Equity In Earnings of Affil/Joint Ventures
HT042        EQY_BOLLINGER_MID                   Bollinger Middle Band                   
A2925        ARD_COST_OF_EQUIPMENT_REV           ARD Cost Of Equipment Revenue           
F0198        PX_TO_DILUTED_EPS_BEF_XO_ITEMS      Price to Diluted EPS before Extraordinary Items
IS907        IS_COMP_EPS_EXCL_STOCK_COMP         Estimate Comparable EPS Excl Stock Based Comp
RK341        EQY_RAW_BETA_6M                     Raw Beta - 6 Month                      
RX031        HIGH_PE_RATIO                       High Price Earnings Ratio (High P/E)    
DV028        EQY_SPLIT_RATIO                     Split Ratio                             
RR141        EARN_ASSET                          Earning Assets                          
RR117        OPER_INC_BEF_INT_PER_RE_INVEST      Op Inc(bef int exp)/RE Invest           
EZ021        BEST_EPS_NXT_YR                     BEst EPS Next Year                      
IN072        PE_BEF_XO_AGGTE                     P/E Before XO Aggregate                 
RR617        GEO_GROW_ROE                        Return on Equity - 5 Yr Geometric Growth
RR178        NET_INC_TO_AVG_EARN_ASSET           Net Income To Average Earning Assets    
RR111        EBITDA_RETURN                       EBITDA Return                           
RR079        NET_CREDIT_INCOME_TO_EARNING_AST    Net Credit Income to Earning Assets     
OP097        EURO_FUT_OPT                        Is Euro-Future Option - Indicator       

DV066        EQY_DPS_GROSS_1YR_GROWTH            Gross 1 Year Dividend Growth Rate       
RK117        EQY_SHARPE_RATIO_5YR                Sharpe Ratio - 5 Yr                     
DS442        EQY_INIT_PO_TYP                     Initial Public Offer Type               
BE401        BEST_EPS_CHG_PCT                    BEst EPS % Chg                          
A0114        ARD_RETAINED_EARN_ACC_DEFICIT       ARD Retained Earnings (Accumulated Deficit)
DV089        EQY_DVD_SPL_EX_DT_NEXT              Next Stock Split Ex Date                
FO102        FUT_EQV_MOD_DUR_NOTL                Futures Equivalent Risk Based on Notional
IS085        IS_EQY_EARN_FROM_INVEST_ASSOC       Equity Earnings from Investments in Assoc
A0201        ARD_EQY_IN_EARN_OF_AFF_JV_CF        ARD Equity In Earnings Of Affiliates/JV-CF
IN064        IDX_EST_POS_EARN_NXT_YR             Index Est Positive Earnings Next Year   
HT065        EQY_TREND                           Equity Trend                            
RK339        EQY_ALPHA_6M                        Alpha - 6 Month                         
RX030        EV_TO_EBITA                         Periodic EV to EBITA                    
A0302        ARD_BASIC_EPS                       ARD Basic EPS                           
IN996        ESTIMATED_PRICE_EARNINGS_MEDIAN     Estimated Price Earnings - Median       
